"","Taxa_lvl1","Taxa_lvl2","Taxa_lvl3","Taxa_lvl4","Taxa_lvl5","Lowest_Common_Taxon_Name","Lowest_Common_Taxon_lvl","...8","...9","...10","Scientific_Name","Lowest_Taxonomic_Resolution","Habitat","Habitat_2","Trophic_Level","Trophic_Category","Trophic_Category_2","Diet","Diet_Source","Diet_Source_2","Mean_Harvest_Time","SD_Harvest_Time","HT_Source","X"
"1","Birds and Eggs","Migratory Birds","Crane","Crane","Crane","Crane","Taxa_lvl3",NA,NA,"seems sandhill crane are the only or at least definitely most common crane in Alaska. Only crane in database, so using sandhill crane info for trophic/diet/phenology info","Gruidae","Family","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Seeds, grains, berries, tubers, invertebrates, amphibians, reptiles, small mammals","U.S. Fish & Wildlife Service",NA,NA,NA,NA,124
"2","Birds and Eggs","Migratory Birds","Crane","Sandhill Crane","Sandhill Crane","Crane","Taxa_lvl3",NA,NA,NA,"Grus Canadensis","Species","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Seeds, grains, berries, tubers, invertebrates, amphibians, reptiles, small mammals","U.S. Fish & Wildlife Service",NA,NA,NA,NA,184
"3","Birds and Eggs","Bird Eggs","Crane Eggs","Crane Eggs","Crane Eggs","Crane Eggs","Taxa_lvl3",NA,NA,"seems sandhill crane are the only or at least definitely most common crane in Alaska. Only crane in database, so using sandhill crane info for trophic/diet/phenology info","Gruidae","Family","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Seeds, grains, berries, tubers, invertebrates, amphibians, reptiles, small mammals","U.S. Fish & Wildlife Service",NA,NA,NA,NA,NA
"4","Birds and Eggs","Bird Eggs","Crane Eggs","Sandhill Crane Eggs","Sandhill Crane Eggs","Crane Eggs","Taxa_lvl3",NA,NA,NA,"Grus Canadensis","Species","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Seeds, grains, berries, tubers, invertebrates, amphibians, reptiles, small mammals","U.S. Fish & Wildlife Service",NA,NA,NA,NA,NA
"5","Birds and Eggs","Bird Eggs","Crane Eggs","Unknown Crane Eggs","Unknown Crane Eggs","Crane Eggs","Taxa_lvl3",NA,NA,NA,"Grus Canadensis","Species","Terrestrial","Terrestrial/freshwater",2.5,"Omnivore (pp/pc)","Omnivore","Seeds, grains, berries, tubers, invertebrates, amphibians, reptiles, small mammals","U.S. Fish & Wildlife Service",NA,NA,NA,NA,NA
"6","Birds and Eggs","Migratory Birds","Duck","Wigeon","American Wigeon","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mareca americana","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Eats aquatic plants such as pondweeds, sedges, wild celery, eelgrass, algae. Also eats some insects and snails. On land, grazes on young grass shoots, and consumes seeds and waste grains. Very young ducklings eat many insects.","American Wigeon | Audubon Field Guide",NA,NA,NA,NA,172
"7","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Barrows Goldeneye","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Bucephala islandica","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","varies with season and habitat. On fresh water eats mainly aquatic insects, such as larvae of dragonflies and caddisflies. At sea eats mostly crustaceans and mollusks. Also eats much plant material, especially pondweeds, mainly in summer and fall","Barrow's Goldeneye | Audubon Field Guide",NA,NA,NA,NA,NA
"8","Birds and Eggs","Migratory Birds","Duck","Bufflehead","Bufflehead","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Bucephala albeola","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Varies with season and habitat. In summer and on fresh water feeds mainly on aquatic insects; on ocean feeds mainly on crustaceans. Also eats many mollusks (especially snails) in winter, and small amounts of plant material in fall","Bufflehead | Audubon Field Guide",NA,NA,NA,NA,148
"9","Birds and Eggs","Migratory Birds","Duck","Canvasback","Canvasback","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Aythya valisineria","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Mainly eats the leaves, roots, and seeds of aquatic plants: pondweeds, wild celery, sedges, grasses, and others. Also eats mollusks, insects, some small fish. In one study in summer, adult males continued to eat mostly plants, while females and young fed on aquatic insect larvae","Canvasback | Audubon Field Guide",NA,NA,NA,NA,149
"10","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Common Goldeneye","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Bucephala clangula","Species","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Varies with season and habitat. Eats crustaceans including crayfish, crabs, shrimps, amphipods, and others; also mollusks (including blue mussel), small fishes, marine worms, frogs, leeches. Aquatic insects are main food in summer (when lakes with no fish may be preferred). Also eats some plant material, such as pondweeds, especially in fall","Common Goldeneye | Audubon Field Guide",NA,NA,NA,NA,NA
"11","Birds and Eggs","Migratory Birds","Duck","Merganser","Common Merganser","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mergus merganser","Species","Terrestrial","Freshwater",3,"Secondary Consumer","Predator","mostly fish. Eats a wide variety of fish; also will eat mussels, shrimp, salamanders, rarely plant material. Adult males may swallow fish more than 1 foot long. Young ducklings eat mostly aquatic insects","Common Merganser | Audubon Field Guide",NA,NA,NA,NA,159
"12","Birds and Eggs","Migratory Birds","Duck","Duck","Duck","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Anatidae","Family","Terrestrial","Freshwater/marine",2.5,"Omnivore (pp/pc)","Omnivore","most of the ducks are omnivores, so I think safe to as an average say they are omnivores",NA,NA,NA,NA,NA,122
"13","Birds and Eggs","Migratory Birds","Duck","Gadwall","Gadwall","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Mareca strepera","Family","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","Mostly plant material. Feeds mainly on aquatic plants. Compared to other dabbling ducks, eats more leaves and stems of these plants, fewer seeds. Also eats small numbers of mollusks, insects, crustaceans, rarely small fish. Very young ducklings eat many insects at first before shifting to more vegetarian diet","Gadwall | Audubon Field Guide",NA,NA,NA,NA,155
"14","Birds and Eggs","Migratory Birds","Duck","Goldeneye","Goldeneye","Duck","Taxa_lvl3","surveys in 1990+ have more detail",NA,NA,"Bucephala","Genus","Terrestrial","Freshwater/estuaries",2.5,"Omnivore (pp/pc)","Omnivore","see diet for each species -- insects, mollusks, some plant types - esp in fall (varies with habitat and season)","general diet based on species breakdown",NA,NA,NA,NA,132
