Conversion Factor,Region,Resource,Resource Code,Units,Project Name,Project ID
1,Southeast,Fish,100000000,lb.,Southeast Timber 1984/1985,13
1,Southeast,Fish,100000000,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Fish,100000000,lb.,Haines/Klukwan 1983,49
1,Southeast,Fish,100000000,lb.,Southeast Harvest Update 1996,105
1,Southeast,Fish,100000000,lb.,Prince of Wales 1997/1998,114
1,Southeast,Fish,100000000,lb.,Prince of Wales 1998/1999,125
1,Southeast,Fish,100000000,lb.,Saxman 1999,133
1,Southeast,Fish,100000000,lb.,Saxman 1999/2000,133
2.261169,Southeast,Fish,100000000,lb.,Saxman 1999,133
2.261169,Southeast,Fish,100000000,lb.,Saxman 1999/2000,133
1,Southeast,Fish,100000000,lb.,Yakutat Household Survey 2000,137
1,Southeast,Fish [CF Retention],100000001,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Fish [CF Retention],100000001,lb.,Southeast Harvest Update 1996,105
1,Southeast,Fish [CF Retention],100000001,lb.,Prince of Wales 1997/1998,114
1,Southeast,Fish [CF Retention],100000001,lb.,Prince of Wales 1998/1999,125
1,Southeast,Fish [CF Retention],100000001,lb.,Yakutat Household Survey 2000,137
1,Southeast,Fish [Rod and Reel],100000002,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Fish [Rod and Reel],100000002,lb.,Southeast Harvest Update 1996,105
1,Southeast,Fish [Rod and Reel],100000002,lb.,Prince of Wales 1997/1998,114
1,Southeast,Fish [Rod and Reel],100000002,lb.,Prince of Wales 1998/1999,125
1,Southeast,Fish [Rod and Reel],100000002,lb.,Yakutat Household Survey 2000,137
1,Southeast,Fish [Other Gear],100000003,lb.,Tongass Resource Use Cooperative Study 1987,15
1,Southeast,Fish [Other Gear],100000003,lb.,Southeast Harvest Update 1996,105
1,Southeast,Fish [Other Gear],100000003,lb.,Prince of Wales 1997/1998,114
1,Southeast,Fish [Other Gear],100000003,lb.,Prince of Wales 1998/1999,125
1,Southeast,Fish [Other Gear],100000003,lb.,Yakutat Household Survey 2000,137
4.9262457,Southeast,Salmon,110000000,Ind.,Saxman 1999,133
4.9262457,Southeast,Salmon,110000000,Ind.,Saxman 1999/2000,133
7.034336,Southeast,Salmon,110000000,Ind.,Saxman 1999,133
7.034336,Southeast,Salmon,110000000,Ind.,Saxman 1999/2000,133
7.156505,Southeast,Salmon,110000000,Ind.,Saxman 1999,133
7.156505,Southeast,Salmon,110000000,Ind.,Saxman 1999/2000,133
1,Southeast,Salmon,110000000,lb.,Haines/Klukwan 1983,49
