Year,Sea Lion Harvest per capita,Native Households Harvesting Sea Lion,Native Households Using Sea Lion,Harvest,Struck and Lost,Total Take,Total Take Confidence Interval (+/-),Lower Range Estimate,Upper Range Estimate
1995,0.06,12.8%,59.0%,9.2,0.0,9.2,15.2%,9.0,10.6
1996,0.03,10.0%,33.3%,4.3,1.1,5.3,28.5%,5.0,6.9
1997,0.0,0.0%,58.1%,0.0,0.0,0.0,0.0%,0.0,0.0
1998,0.01,5.7%,45.7%,2.1,0.0,2.1,22.8%,2.0,2.5
2000,0.04,9.7%,51.6%,6.5,0.0,6.5,54.1%,5.0,9.9
2001,0.02,4.9%,31.7%,3.7,0.0,3.7,64.0%,3.0,6.1
2002,0.01,2.2%,40.0%,2.0,0.0,2.0,0.0%,2.0,2.0
2003,0.02,N/A,N/A,5.0,2.0,5.0,0.0%,5.0,5.0
2004,0.01,4.3%,31.9%,2.1,0.0,2.1,27.7%,2.0,2.7
2005,0.01,2.3%,25.0%,1.1,0.0,1.1,49.5%,1.0,1.6
2006,0.01,2.6%,23.1%,1.0,0.0,1.0,31.0%,1.0,1.3
2007,0.01,5.0%,17.5%,4.7,2.4,4.7,59.3%,4.0,7.5
2008,0.01,2.2%,23.9%,1.0,1.0,2.0,28.6%,2.0,2.6
