Year,Sea Lion Harvest per capita,Native Households Harvesting Sea Lion,Native Households Using Sea Lion,Harvest,Struck and Lost,Total Take,Total Take Confidence Interval (+/-),Lower Range Estimate,Upper Range Estimate
1995,0.04,5.3%,36.8%,2.6,0.0,2.6,96.0%,2.0,5.2
1996,0.07,13.0%,52.2%,5.0,0.0,5.0,52.5%,4.0,7.7
1997,0.04,5.3%,47.4%,2.7,1.4,4.1,101.7%,3.0,8.3
1998,0.17,21.1%,52.6%,15.1,6.8,21.9,55.6%,16.0,34.1
2000,0.02,7.1%,42.9%,1.9,0.0,1.9,136.0%,1.0,4.6
2001,0.07,10.5%,36.8%,6.3,0.0,6.3,81.6%,4.0,11.5
2002,0.0,0.0%,6.7%,0.0,0.0,0.0,0.0%,0.0,0.0
2003,0.14,16.7%,66.7%,12.4,1.1,13.5,33.4%,12.0,18.0
2004,0.29,42.1%,78.9%,26.3,10.3,36.6,0.0%,36.6,36.6
2005,0.43,25.0%,90.0%,39.0,9.1,48.1,49.3%,37.0,71.8
2006,0.18,13.3%,60.0%,16.0,8.0,24.0,81.4%,18.0,43.5
2007,0.45,41.2%,82.4%,41.3,7.9,49.2,50.2%,31.0,74.0
2008,0.18,20.0%,55.0%,16.5,3.3,19.8,30.5%,18.0,25.8
